Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015",latitude,longitude,Lat From Bos,Lon From Bos,Distance From Bos Sum,prescriptions_dispensed_by_us_retailers_in_that_year_millions,Distance from Water,Boston Lat,Boston Lon,Max ,Mion lat,Glou,,,
Abington,5,6.7,10,12.3,13,16.3,42.11749,-70.959888,0.24251,0.299888,0.542398,116,0.265888,42.36,-70.66,42.853539,41.287647,-70.694179,0.67699,0.225663333,-71.371169
Acton,1,1,2,1.9,11,10,42.446396,-71.459405,0.086396,0.799405,0.885801,126,0.765405,,,42.176549,,-70.46851567,,,-71.14550567
Acushnet,1,2,3,5.7,5,9.7,41.711894,-70.908286,0.648106,0.248286,0.896392,138,0.214286,,,41.499559,,0,,,-70.91984233
Adams,2,4.6,4,9.5,8,18.9,42.385595,-73.172166,0.025595,2.512166,2.537761,142,2.478166,,,40.822569,,,,,-70.694179
Amesbury,6,7.3,4,4.8,12,14.7,42.853539,-70.948211,0.493539,0.288211,0.78175,149,0.254211,,,,,,,,
Amherst,4,2.3,4,2.3,6,3.2,42.367092,-72.464571,0.007092,1.804571,1.811663,155,1.770571,,,,,,,,
Andover,2,1.3,5,3,17,10.2,42.647991,-71.165685,0.287991,0.505685,0.793676,163,0.471685,,,,,,,,
Arlington,11,5.2,16,7.7,24,11.2,42.417595,-71.159696,0.057595,0.499696,0.557291,174,0.465696,,,,,,,,
Ashburnham,0,0,2,6.7,2,6.6,42.654906,-71.920942,0.294906,1.260942,1.555848,184,1.226942,,,,,,,,
Ashby,1,7,1,6.8,1,6.5,42.446396,-71.459405,0.086396,0.799405,0.885801,196,0.765405,,,,,,,,
Ashfield,1,11.1,1,11.1,1,11.5,42.562391,-72.738152,0.202391,2.078152,2.280543,202,2.044152,,,,,,,,
Ashland,4,5.4,5,6.4,8,9.6,42.446396,-71.459405,0.086396,0.799405,0.885801,210,0.765405,,,,,,,,
Athol,9,15.8,4,6.9,10,17.3,42.547302,-72.183903,0.187302,1.523903,1.711205,219,1.489903,,,,,,,,
Attleboro,17,8,22,10.1,45,20.6,41.938976,-71.302297,0.421024,0.642297,1.063321,217,0.608297,,,,,,,,
Auburn,2,2.5,5,6.1,10,12.4,42.184835,-71.947184,0.175165,1.287184,1.462349,207,1.253184,,,,,,,,
Avon,1,4.5,3,13.8,10,45.9,42.126049,-71.048216,0.233951,0.388216,0.622167,196,0.354216,,,,,,,,
Ayer,4,11,4,11,4,10.8,42.446396,-71.459405,0.086396,0.799405,0.885801,116,0.765405,,,,,,,,
Barnstable,21,8.8,28,11.8,42,18.6,41.697313,-70.301394,0.662687,0.358606,1.021293,126,0,,,,,,,,
Barre,0,0,3,11.2,4,14.8,42.32916,-72.139465,0.03084,1.479465,1.510305,138,1.445465,,,,,,,,
Becket,0,0,0,0,1,11.2,42.3418,-73.103468,0.0182,2.443468,2.461668,142,2.409468,,,,,,,,
Bedford,3,4.8,4,6.3,5,7.5,42.446396,-71.459405,0.086396,0.799405,0.885801,149,0.765405,,,,,,,,
Belchertown,3,4.6,4,5.7,9,12.3,42.280267,-72.402056,0.079733,1.742056,1.821789,155,1.708056,,,,,,,,
Bellingham,5,6.5,9,11.4,11,13.5,42.076501,-71.470464,0.283499,0.810464,1.093963,163,0.776464,,,,,,,,
Belmont,3,2.5,1,0.8,7,5.7,42.412795,-71.204399,0.052795,0.544399,0.597194,174,0.510399,,,,,,,,
Berkley,3,10.2,2,6.3,5,15.6,41.828249,-71.064135,0.531751,0.404135,0.935886,184,0.370135,,,,,,,,
Berlin,0,0,2,14.7,1,7,42.3129,-71.841656,0.0471,1.181656,1.228756,196,1.147656,,,,,,,,
Bernardston,0,0,0,0,4,37.6,42.62706,-72.642888,0.26706,1.982888,2.249948,202,1.948888,,,,,,,,
Beverly,14,7,14,7,35,17.7,42.565145,-70.853843,0.205145,0.193843,0.398988,210,0.159843,,,,,,,,
Billerica,16,8.2,20,10,28,13.9,42.446396,-71.459405,0.086396,0.799405,0.885801,219,0.765405,,,,,,,,
Blackstone,4,9,1,2.2,4,8.9,42.114078,-71.799785,0.245922,1.139785,1.385707,217,1.105785,,,,,,,,
Blandford,0,0,0,0,1,16.2,42.177833,-72.958359,0.182167,2.298359,2.480526,207,2.264359,,,,,,,,
Bolton,0,0,1,4.4,2,8.2,42.436043,-71.605916,0.076043,0.945916,1.021959,196,0.911916,,,,,,,,
Boston,339,11.6,349,12.2,468,15.2,42.370567,-71.026964,0.010567,0.366964,0.377531,116,0.332964,,,,,,,,
Boxborough,0,0,0,0,0,0,42.446396,-71.459405,0.086396,0.799405,0.885801,126,0.765405,,,,,,,,
Boxford,0,0,1,2.5,3,7.5,42.683256,-71.017403,0.323256,0.357403,0.680659,138,0.323403,,,,,,,,
Boylston,1,4.9,0,0,2,9.2,42.300037,-71.943458,0.059963,1.283458,1.343421,142,1.249458,,,,,,,,
Braintree,9,5.3,14,8.2,26,14.6,42.202216,-71.005192,0.157784,0.345192,0.502976,149,0.311192,,,,,,,,
Brewster,3,5.9,4,7.9,3,6.1,41.852997,-70.044462,0.507003,0.615538,1.122541,155,0,,,,,,,,
Bridgewater,8,6.3,10,7.7,26,19.6,41.973741,-70.976558,0.386259,0.316558,0.702817,163,0.282558,,,,,,,,
Brimfield,1,5.9,0,0,1,5.5,42.108585,-72.20448,0.251415,1.54448,1.795895,174,1.51048,,,,,,,,
Brockton,50,10.5,68,13.7,118,25.2,42.079399,-71.03999,0.280601,0.37999,0.660591,184,0.34599,,,,,,,,
